"abort",终止
"aborted",已终止
"aborting",正在终止
"about",关于
"above",之上
"abr",
"absolute",绝对
"accidental",升降号
"accidentals",升降号
"acid",
"across",
"act",
"action",操作
"actions",操作
"activate",激活
"activating",
"active",活动
"actively-writing",
"activity",
"add",添加
"add-fx",添加FX
"added",已添加
"adding",
"addition",
"additional",额外的
"adjacent",
"adjust",调整
"adjusting",正在调整
"adjustment",
"adjustments",
"adjusts",调整
"adpcm",
"advance",
"advanced",
"affect",影响
"affected",已影响
"affects",影响
"after",之后
"aftertouch",
"again",又
"aggressive",
"ahead",
"album",专辑
"alias",
"align",
"aligned",
"all",所有
"all-tracks",
"allow",允许
"allows",允许
"alpha",
"already",已经
"also",
"alt",
"alternate",
"alto",
"always",总是
"amount",数量
"amplitude",振幅
"and",与
"another",另一个
"anticipative",
"any",任意
"anyway",仍要
"api",
"appear",
"appearance",外观
"append",
"application",应用
"applications",应用
"applied",
"apply",应用
"approximate",
"area",区域
"areas",区域
"arm",准备
"armed",已准备
"around",
"arpeggiate",
"arrange",
"articulation",
"artist",
"as",为
"asio",
"aspect",
"assign",
"associated",关联的
"asynchronous",
"attach",
"attached",
"attack",
"attribute",
"audio",音频
"aui",
"auto",自动
"auto-advance",
"auto-clear",
"auto-crossfade",
"auto-crossfades",
"auto-detect",
"auto-float",
"auto-open",
"auto-punch",
"auto-render",
"auto-reposition",
"auto-stop",
"auto-view-scroll",
"automatic",自动
"automatically",
"automation",自动化
"automuted",
"autoplay",自动播放
"available",
"avfoundation",
"avoid",避免
"aware",
"axis",
"back",
"background",背景
"backgrounds",背景
"backup",备份
"backward",
"bad",
"balance",
"bank",
"bar",小节
"bars",小节
"base",
"baseline",
"bass",
"batch",
"bay",存储箱
"beam",
"beat",节拍
"beats",节拍
"because",
"become",
"been",
"before",之前
"begin",
"behave",
"behind",
"below",之下
"bend",
"best",
"better",
"between",
"bext",
"bezier",
"big clock",
"binding",
"bindings",
"bit fp floor",
"bit fp",
"bit pcm",
"bit",位
"bitrate",
"black",
"blank",
"blend",
"block",
"blocks",
"blocksize",数据块大小
"blues",
"boost",
"both",两者都
"bottom",底部
"bounce",
"bounds",
"bow",
"box",
"bpm",BPM
"bracket",
"bridged",
"bridging",
"browse",浏览
"browser",浏览器
"browsing",正在浏览
"buffer",缓冲
"buffering",缓冲
"buffers",
"buggy",
"build",构建
"burn",
"burning",
"bus",
"buses",
"button",按钮
"buttons",按钮
"bwf description",
"bwf",
"bypass",旁通
"bypassed",已旁通
"bytes",
"c&ut",
"cache",
"caches",
"cadpcm",
"calculate",
"calculating",
"can't",无法
"cancel",取消
"cannot",
"capture",
"cascade",
"categories",分类目录
"category",分类目录
"cause",
"causes",
"caution",
"cbr",
"cd burning",
"cd-text",
"cdrecord",
"cent",
"center",
"cents",
"certain",
"chain",链
"chains",链
"change",更改
"changed",
"changes",
"changing",
"channel pressure",
"channel",通道
"channels",通道
"character",
"chase",跟踪
"check",检查
"checked",选中
"checking",
"child",
"children",
"choose",选择
"chop",
"chord",
"chords",
"christian",
"chromatic",
"chunk",
"clarinet",
"cleanup",清理
"clear",清除
"cleared",
"clearing",
"clears",
"clef",
"click",
"clickable",
"clicked",
"clicking",
"clip",
"clock",
"close fx",关闭FX
"close",关闭
"closer",
"closes",
"closing",
"cockos",
"code",
"collect",
"color",颜色
"colored",
"coloredbar",彩色条
"colormap",
"colors",颜色
"colorspace",
"columns",列
"command",命令
"commands",命令
"comment",注释
"commit",
"common",
"comp",层组
"compact",
"compatibility",
"compatible",
"compensated",
"compensation",
"complete",
"compression",
"compressor",
"comps",
"computer",
"config",
"configuration import",
"configuration",配置
"configure",
"configured",
"confirm",确认
"confirmation",
"connect",
"connected",
"connector",
"consider",
"considered",
"console",控制台
"consolidate",
"consolidated",
"consolidating",
"constant",
"contain",
"contains",
"content",内容
"contents",内容
"context",
"contexts",
"continue",继续
"continuous view",
"continuous",
"control surface",
"control",控制
"controller",
"controlpanel",控制面板
"controls",
"conversion",
"convert",转换
"converted",
"converter",
"copies",
"copy",复制
"copying",
"coreaudio",Coreaudio
"correct",
"corrupted",
"could",
"count",
"cpu",CPU
"cpus",CPU
"crash",
"crashes",
"create",创建
"created fx",已创建FX
"created",
"creates",
"creating",
"critical",
"crop",
"crossfade",交叉淡化
"crossfaded",
"crossfades",交叉淡化
"crossing",
"ctrl+insert",
"cu&t",
"cue",
"cues",
"current bpm",
"current",当前
"currently",
"cursor",光标
"curvature",
"curve",曲线
"curves",曲线
"custom",自定义
"customize",
"customized",自定义
"cut",剪切
"cvbr",
"cycle",
"dark",
"data",
"database",数据库
"date",日期
"day",天
"days",天
"ddp",
"ddpms",
"decay",
"decibels",
"decoder",
"decoders",
"decrease",降低
"dedicated",
"default",默认
"defaults",默认
"defeat",
"define",
"defined",
"delay",延迟
"delayed",
"delays",延迟
"delete",删除
"deleted",
"depending",
"depends",
"deprecated",
"depth",
"description",描述
"descriptions",描述
"deselect",
"desired",
"destination",
"destinations",
"detail",详情
"detailed",
"details",详情
"detect",
"detection",检测
"developer",
"developers",
"development",
"device",设备
"devices",设备
"dialog",对话框
"diamonds",
"different",不同的
"dim",
"direction",
"directories",
"directory",目录
"disable",禁用
"disabled",已禁用
"disabling",
"disarm",取消准备
"disc",
"discard",
"disconnect",
"disk",磁盘
"display",显示
"displayed",
"displaying",
"distance",
"dither",抖动
"divider",
"division",
"dll",
"dock",停靠
"docked",
"docker",泊窗区
"documentation",
"does",
"don't",
"done",
"dot",
"dots",
"dotted",
"double",
"double-click",
"double-clicking",
"down",
"download",下载
"downmix",
"drag",
"dragging",
"draw",
"drawing",
"drawn",
"drift",
"drive",
"driver",
"drivers",
"drop",
"drum",
"dsp",
"dual",
"duplicate",复制
"duration",
"during",
"dxi",
"dynamic",
"dynamically",
"dynamics",
"e.g",
"each",
"earlier",
"easier",
"edge",边缘
"edges",边缘
"edit",编辑
"editability",
"editable",
"editcursor",编辑光标
"edited",
"editing",
"editor transport",
"editor",编辑器
"editors",编辑器
"edits",
"edl txt",
"edl",
"eel",EEL
"effect",
"effects",
"efficient",
"either",
"element",
"elements",
"embed",
"embedded",
"empty",空白
"enable locking",
"enable",启用
"enabled",已启用
"enables",
"enabling",
"enclosed",
"enclosing",
"encode",
"encoder",
"encoding",
"end",
"ends",
"ensure",
"enter",
"entire",整个
"entry",
"env",
"envelope locking mode",
"envelope locking",
"envelope",包络
"envelopes",包络
"equal",
"erase",
"error initializing asio",
"error initializing",
"error",错误
"errors",错误
"eta",
"etc",
"event",事件
"events",事件
"every",
"example",
"exceeds",
"except",除了
"exclusive mute",
"exclusive solo",
"exclusive",
"exist",
"existing",
"exists",
"expand",
"experimental",
"explode",分解
"explorer",浏览器
"export vst",
"export",导出
"exported",
"extend",
"extension",扩展
"extensions",扩展
"external",外部
"extra",额外
"factory",
"fade",淡化
"fade-out",淡出
"fadein",淡入
"fadeout",淡出
"fader",推子
"fader-scaled",
"faders",推子
"fades",
"failed",
"faint",
"fast",
"faster",
"fastest",
"feedback",
"ffmpeg",
"field",栏目
"fields",栏目
"file",文件
"filename",文件名
"filenames",文件名
"files",文件
"fill",
"filled",
"filter",过滤器
"find",查找
"finder",
"finding",正在查找
"fine",
"finished",
"finishes",
"first",
"fit",
"flac",FLAC
"flag",
"flags",
"flash",
"flat",
"flexible",
"float","浮动|浮点"
"floating",
"floor",
"flush",
"flute",
"fmt",
"focus",焦点
"focused",
"folder",文件夹
"folders",文件夹
"follow",跟随
"following",
"follows",跟随
"font",字体
"for",
"force",
"foreground",
"form",
"formant",共振峰
"formants",共振峰
"format",格式
"forward",
"found",
"fps",
"frame",帧数
"framerate",
"frames",帧数
"free",
"freeze",冻结
"freezing",正在冻结
"freq",频率
"frequency",频率
"front",
"frozen",已冻结
"full",
"fullscreen",
"fully",
"function",
"gain",增益
"gaincompensation",增益补偿
"gate",门限
"general",通用
"generally",
"generate",生成
"generator",
"genre",风格
"gesture",手势
"get",
"gets",
"getting",
"ghost",映像
"gif",
"give",
"gives",
"global",全局
"glue",
"glued",
"good",
"goto",转到
"gp slider",
"gradient",
"graph",
"grid",网格
"gridline",网格线
"gridlines",网格线
"grids",网格
"groove",律动
"group",分组
"grouped",
"grouping",分组
"groups",
"grow",
"gui",
"guide",
"guides",
"had",
"half",
"halve",
"hand",
"handle",
"handles",
"hard-cbr",
"hardware",硬件
"hardwares",硬件
"have",
"head",
"header",
"heads",
"heal",
"height",
"heights",
"held",
"help",帮助
"here",
"hidden",隐藏的
"hide",隐藏
"high",
"higher",
"highest",
"highlight",
"history",历史
"hold",
"holding",
"horizontal",水平
"horizontally",
"host",
"hostname",
"how",
"hue",
"humanize",
"hysteresis",迟滞
"i.e",
"icon",图标
"icons",图标
"ide",
"identify",
"idle",
"ifneeded",必要时
"ignor",无视
"ignore",忽略
"ignored",
"ignoring",
"ima",
"image",
"images",
"immediately",
"implode",组合
"import vst",
"import",导入
"imported",
"importing",
"inactive",
"inc",
"include",包含
"included",已包含
"including",正在包含
"increase",提升
"increment",
"indicator",
"indicators",
"individual",独立的
"inexplorer",在浏览器中
"inf",
"infinity",无限
"info",信息
"inform",
"information",
"ing",正在
"initializ",初始化
"initialization",
"initialize",
"initializing asio",
"initializing",
"inline",
"input",输入
"inputs",输入
"ins",
"insert",插入
"inserted",已插入
"inserting",正在插入
"inserts",插入
"install",安装
"installed",已安装
"instance",
"instances",
"instead",
"instrument",乐器
"instrumental",
"instruments",乐器
"integer",定点
"interface",
"interpolation",
"interruptions",
"intersection",
"invalid",
"invert phase",反相
"invert",反转
"ite&m",
"item",块
"items",块
"jack",Jack
"jog",
"jogging",
"join",
"joystick",
"js fx","JS FX"
"jsfx",JSFX
"jump",
"just",
"kbps",
"keep",保留
"key",
"keyboard",键盘
"keys",
"knob",
"l+r",L+R
"label",
"labels",
"lack",
"lame",LAME
"lane",栏
"lanes",栏
"language",语言
"languagepacks",语言包
"large",
"larger",
"last",
"latch",
"latencies",
"latency",
"latencycompensated",弥补延迟
"later",
"launching",
"law",
"layers",
"layout",布局
"layouts",布局
"lcf",
"leading",
"learn",
"learned",
"least",
"leave",
"leaving",
"left",左
"left-hand",
"legato",连音
"length",长度
"lengthen",加长
"lengths",长度
"less",
"let",让
"letting",
"level",
"levels",
"lfo",LFO
"libraries",库
"library",库
"license",授权
"licensekey",授权码
"light",
"lighter",
"like",
"limit",
"limited",
"line",
"linear",
"lines",
"link",
"linked",
"list",
"listed",
"little",
"live",
"load",加载
"loaded",
"loading",
"local",
"location",
"lock",锁定
"locked",
"locking",
"long",
"look",
"loop",循环
"loopable",
"loopback",
"looped",
"looped-segment mode",
"looped-segment",
"looping",
"loops",循环
"lot",
"loud",
"low",
"lower",
"lowest",
"lsb",LSB
"ltc",
"lua",LUA
"lyric",歌词
"lyrics",歌词
"macos",Macos
"main",主
"major",
"make",
"makes",
"manager",管理器
"manual",
"manually",
"many",
"map",
"mapping",
"mappings",
"marker",标记
"markers",标记
"marquee",
"master",总线
"match",
"matching",
"matrix",矩阵
"max",
"maximum",
"may",
"means",
"measure",小节
"measured",
"measures",小节
"media",媒体
"medium",
"megabytes",
"memory",
"menu",菜单
"menus",菜单
"merge",
"message",信息
"messages",信息
"metadata",
"metal",
"meter",仪表
"metering",
"meters",
"method",
"metronome",节拍器
"middle",
"midi_note_colormap",
"milliseconds",
"min",
"minimal",
"minimize",最小化
"minimum",
"minor",
"minutes",
"mirror",
"misc",
"missing",
"mix",
"mixer",调音台
"mod",
"mode",模式
"modes",模式
"modified",
"modifier",
"modifiers",
"modify",
"modulation",
"monitor",监听
"monitoring",
"mono",单声道
"month",
"mordent",
"more",
"most",
"mouse",鼠标
"mouse-editing",鼠标编辑
"mousecursor",鼠标位置
"mousewheel",鼠标滚轮
"mov",移动
"move",移动
"moved",已移动
"movement",
"movements",
"moves",
"moving",
"mpeg",
"msadpcm",
"msb",MSB
"mtc",MTC
"much",
"multichannel",多声道
"multiple",
"multiply",相乘
"multiprocessing",
"multitouch",
"musical notation",
"musical",
"musicxml",
"must",
"mute master",
"mute",Mute
"muted",已静音
"mutes",
"name",名称
"named",
"names",
"native",
"natively",
"natural",
"naturals",
"navigate",
"navigation",
"navigator",导航器
"near",
"nearest",
"necessary",
"need",
"needed",
"negative",
"never",
"new",新
"newer",
"newly",
"next",下个
"ninjam",
"no link",
"no",没有
"no-op",
"noise",噪声
"noises",噪声
"non-offline",
"non-opaque",
"none",无
"normal",普通
"normalize",最大化波形
"normalized",
"normally",
"notate",
"notation",
"note",音符
"note-offs",
"note-ons",
"notes",音符
"nothing",
"notice",
"notification",
"notifications",
"Notmuted",未静音的
"Notsoloed",非已Solo
"now",
"nudge",微移
"number",编号
"numbers",编号
"occur",
"octave",八度
"octaves",八度
"odd",
"off",
"offline",离线
"offscreen",
"offset",偏移
"OK",确定
"old",
"omni",
"once",
"one-channel",
"online",在线
"only",只
"opacity",
"opaque",
"open",打开
"opened",
"opening",
"opens",
"operation",
"optimized",
"option",选项
"optionally",
"options",选项
"opus",
"order",
"originals",
"originator",
"ornament",
"other",其他
"others",其他
"otherwise",否则
"out",
"output",输出
"outputs",输出
"outs",
"outside",
"over",
"overdub",
"overlaid",
"overlap",
"overlapping",
"overlaps",
"overlay",
"override",覆盖
"overrides",覆盖
"overview",
"overwrite",
"overwriting",
"packs",包
"pad",
"page",
"pages",
"paint",
"pair",一双
"pairs",对
"pan law",声像衰减规则
"pan",声像
"pan(r",
"pane",
"panel",面板
"panels",面板
"PanLaw",声像衰减规则
"pans",
"param",参数
"parameter",参数
"parameters",参数
"parent",
"parm",
"parsing",
"part",
"pass",
"past",
"paste",粘贴
"pasting",
"patch",
"path",目录
"paths",目录
"pattern",
"pause",
"paused",
"pcm",
"pdc",
"pdf",PDF
"peak",峰值
"peaks",峰值
"pedal",
"penalty",
"per",
"per-plugin",
"per-take",
"per-track",
"percent",
"performance",性能
"permits",
"phase",相位
"phrase",乐句
"piano",钢琴
"pianoroll",钢琴卷帘
"pin",
"PiP",分工程
"pitch",音高
"pitches",
"pixel",像素
"pixels",像素
"place",
"play",播放
"playback",回放
"played",已播放
"playing",正在播放
"playrate",播放速率
"please",请
"plug-in",插件
"plug-ins",插件
"plugin",插件
"plugins",插件
"point pcm",
"point",点
"points",点
"poly aftertouch",
"poly",
"pool",
"pooled",
"pooling",
"port",
"portamento",
"portion",
"position",位置
"positioning",
"positions",位置
"possible",
"possibly",
"post-fader",
"post-fx",FX后
"post-pan",声像后
"power",
"pre-fader",推子前
"pre-fx",FX前
"pre-roll",预卷
"precision",
"preference",
"preferences",
"preferred",
"present",
"preserve",保持
"preserved",
"preserving",
"preset",预置
"presetbutton",
"presets",预置
"press",
"pressed",
"pressing",
"pressure",
"prevent",
"preview",
"previous",上个
"previously",
"primary",主
"primarybeat",重拍
"prior",
"priority",
"pro",
"probably",
"proceed",
"process",
"processing",
"processor",
"program",
"project",工程
"projects",工程
"prompt",提示
"propagate",
"properties",属性
"property",属性
"proportional",
"proxy",
"punch",
"punch-out",切出
"punk",
"purchase",
"purchasing",
"python",
"quality",
"quantization",
"quantize",量化
"quarter",
"query",
"queue delay",
"queue",队列
"queued renders",
"queued",
"quintuplet",
"quit",退出
"ram",
"random",随机
"range",值域
"rate",速率
"rates",速率
"rather",
"ratio",比例
"raw",原
"re-scan",
"read",读取
"reading",正在读取
"realtime",实时
"REAPER",REAPER
"reascript",ReaScript
"reascripts",ReaScripts
"rebuild",重建
"receive",接收
"receives",接收
"receiving",正在接收
"recent",
"recommended",推荐的
"record",录音
"recorded",已录制
"recorder",
"recording",正在录音
"recordings",录制品
"recordmonitoring",录音监听
"recovery",
"rectangles",
"rectify",
"red",红色
"redo",重做
"reduce",减少
"reduces",减少
"reference",
"refresh",
"regardless",
"region",区域
"regions",区域
"registered",
"relative",相对
"release",
"reload",
"remain",
"remove",删除
"removed",
"removing",
"rename",重命名
"render",渲染
"render-ahead",
"rendered",
"rendering",正在渲染
"renders",
"reorder",
"repeat",重复
"repeating",
"replace",替换
"replacement",
"represent",
"request",请求的
"require",
"required",
"requires",
"resample",重采样
"resampled",
"reset",复位
"resize",
"resizing",
"resolution",
"resource",资源
"resources",资源
"response",
"restart",
"restore",
"result",
"retain",
"returns",
"reverb",
"reverse",反转
"reversed",
"revert",
"rewind",
"rewire",
"rewired",
"rex",
"right",右
"right-click",
"right-clicking",
"ripple",连锁
"rms",RMS
"rock",
"roll",
"root",
"rotate",
"rounded",
"routing",路由
"row",行
"rows",行
"rpp",RPP
"ruler",标尺
"run",运行
"running",
"same",
"sample",采样
"sampler",
"samplerate",采样率
"samples",采样
"save",保存
"saved",
"saves",
"saving",
"saw",
"sax",
"scale",音阶
"scales",音阶
"scaling",定标
"scan",
"scanning",
"screen",
"screenset",
"screensets",
"script",脚本
"scroll",滚动条
"scrolling",
"scrub",
"scrubbing",
"search",搜索
"searches",
"searching",
"second",秒
"secondary",次
"secondarybeat",轻拍
"seconds",秒
"section",段落
"see",
"seek",
"seeking",
"seeks",
"segment",
"select",
"selected",所选
"selecting",
"selection",选区
"selections",选区
"selectively",
"semitone",半音
"semitones",半音
"send",发送
"sending",
"sends",发送
"sensitivity",敏感度
"separate",
"separated",
"septuplet",
"sequentially",
"session",
"set",设置
"sets",设置
"setting",设置
"settings",设置
"setup",设置
"shadow",
"shape",形状
"shapes",形状
"shaping",
"share",
"shared",
"sharp",升
"shift",
"short",
"shortcut",快捷键
"shortcuts",快捷键
"shorten",
"shorter",
"should",
"shoutcast",
"show",显示
"showing",
"shown",
"shrink",
"side",
"sidechain",
"sidechaining",
"sides",
"signal",
"signature",
"signatures",
"silence",
"silent",
"similarly-named",
"simple",
"simply",
"sinc",
"sine",
"single",
"single-channel",
"size",
"skip",
"slave",
"slaves",
"slice",
"slices",
"slider",
"slight",
"slope",
"slow",
"slower",
"small",
"smaller",
"smart",
"smooth",
"smpte",
"snap",吸附
"snapped",
"snapping",吸附
"snaprelative",相对吸附
"soft",
"soft-snap",
"solid",
"solo",Solo
"soloed",已Solo
"soloist",
"solos",
"some",
"song",
"sound",
"source",源文件
"sources",源文件
"space",
"spacing",
"spec",
"special",
"specific",
"specified",
"spectral",
"spectrogram",
"spectrum",
"speech",
"speed",
"splash",
"split",切分
"splits",切分
"splitting",
"spp",
"square",
"staff",
"standard",
"start preview",
"start",开始
"starting",
"starts",
"startup",
"state",
"states",
"static",
"status",状态
"stay",
"stem",茎
"stems",茎
"step",
"stereo",双声道
"still",
"stop",停止
"stopped",
"stopping",
"stops",
"store",
"straight",
"stream",
"streams",
"strength",
"stretch",拉伸
"strings",字符串
"subfolders",子文件夹
"submenu",子菜单
"subproject",子工程
"subprojects",子工程
"such",
"support",
"supported",
"suppress",
"sure",
"surface",界面
"surfaces",界面
"surround",环绕声
"swap",
"swing",
"switch",切换
"switching",
"sync",
"synced",
"synchronization",同步
"synchronize",同步
"synchronized",
"synchronizing",
"synchronous",
"sysex",
"system",系统
"t&ake",
"tab",标签页
"table",
"tabs",
"tag",标签
"tail",
"tails",
"take",层
"takecomp",层组
"takeover",
"takes",层
"taking",
"tap",
"tape",
"target",
"tcp",
"technique",
"template",模板
"templates",模板
"tempo",速度
"tempo-matching",
"temporarily",
"temporary",
"tenor",
"tension",
"tenths",
"terminate",
"text",文本
"thank",感谢
"theme",主题
"things",
"this",
"those",
"thread",
"threads",
"threshold",阈值
"through",
"ticks",
"ties",
"time",
"timebase",时间基准
"timecode",时间码
"timed",
"timeline",时间线
"timeout",
"times",
"timesignature",拍号
"timestamp",
"timestamped",
"timing",
"tint",
"tinted",
"title",标题
"to",至
"together",同时
"toggle",切换
"toggles",切换
"tonal",
"tones",
"too",
"tool",工具
"toolbar",工具栏
"toolbars",工具栏
"tooltip",
"tooltips",
"top",
"total",
"touch",
"touched",
"track",音轨
"tracks",音轨
"trailing",
"transient",瞬态
"transients",瞬态
"transition",
"transport",走带
"transpose",
"transposing",
"treat",
"tremolo",
"triad",
"triangle",
"triangles",
"trill",
"trim",
"triple",
"triplet",
"triplets",
"trumpet",
"try",
"tuplet",
"turn",
"tweak",优化
"tweaks",优化
"two",
"txt",TXT
"type",类型
"udp",UDP
"un-pool",
"unable",
"unarm",
"unattached",
"unavailable",
"unchecked",
"under",
"underlying",
"underrun",
"undo",撤销
"unfreeze",解冻
"unhide",取消隐藏
"unique",独特的
"unit",单位
"units",单位
"unknown",未知
"unless",除非
"unlit",
"unload",卸载
"unlock",解锁
"unmute",取消Mute
"unnamed",未命名的
"unpooled",
"unquantize",
"unsaved",未保存的
"unselect",取消选择
"unselected",未选择的
"unset",取消设置
"unsolo",取消Solo
"unsoloed",
"until",
"untitled",
"unused",
"update",更新
"updated",已更新
"updates",更新
"usage",使用状况
"use",使用
"used",已使用
"useful",有用的
"user",用户
"uses",使用
"using",正在使用
"valid",
"value",数值
"values",数值
"vbr",VBR
"vca",VCA
"vcas",VCA
"velocity",
"version",
"versions",
"vertical",
"vertically",
"very",
"via",通过
"video",视频
"videos",视频
"view",查看
"views",查看
"virtual",虚拟
"virtualinstrument",虚拟乐器
"virtualinstruments",虚拟乐器
"visibility",
"visible",可见
"visit",
"visual",
"visualized",
"vlc",VLC
"voice",
"voicing",
"volume",音量
"vorbis",
"wait",
"waiting",
"walter",
"want",
"warn",
"warning",警告
"was",
"wasapi",WASAPI
"waveform",波形
"waveforms",波形
"wavpack",Wavpack
"way",
"web",
"well",
"were",
"wheel",
"where",
"whether",
"which",
"while",
"white",白色
"whole",
"width",宽度
"wildcard",通配符
"wildcards",通配符
"window",窗口
"windows",窗口
"wish",
"within",
"without",
"work",
"worker",
"would",
"writ",写入
"write",写入
"writing",正在写入
"wrote",已写入
"year",年
"you",你
"your",你的
"yuv",
"zero",零
"zoom",缩放